id,영업상태,상세주소,약국명,위도,경도
PHMH320173000034087500011,영업/정상,서울특별시 종로구 송월길 99 205동 2201호 (홍파동 경희궁자이 펠리스에비뉴),(주)코리아세븐 경희궁자이점,196790.337498006,452053.37216059
PHMH320173000034087500012,영업/정상,서울특별시 종로구 김상옥로 61 1층 (충신동 올리브빌딩),CU 종로충신점,200346.126056487,452370.292247715
PHMH320163000034087500017,영업/정상,서울특별시 종로구 통일로 146 1층 (교남동 롯데리아),씨유종로교남점,196881.585998335,451682.368379486
PHMH320133000034087500019,영업/정상,서울특별시 종로구 혜화로 9 1층 (명륜1가),GS25 명륜아남점,199944.167298329,453791.442084652
PHMH320123000034087500070,영업/정상,서울특별시 종로구 종로 344 1층 (숭인동 대우디오빌),GS25 동묘역점,201350.473375538,452279.7442603
PHMH320183000034087500002,영업/정상,서울특별시 종로구 진흥로22길 17 1층 (구기동),씨유상명구기점,196240.173808173,455997.73779299
PHMH320183000034087500003,영업/정상,서울특별시 종로구 동숭길 114 1층 2호 (동숭동),씨유 동숭아트점,200269.449015184,453429.418451976
PHMH320123000034087500120,영업/정상,서울특별시 종로구 청계천로 73 (관철동),씨유 종로피아노길점,198683.848370092,451822.996762578
PHMH320133000034087500036,영업/정상,서울특별시 종로구 율곡로 174 (원남동),CU원남사거리점,199750.932694302,452592.759611754
PHMH320173000034087500034,영업/정상,서울특별시 종로구 대학로 101 1층 (연건동 서울대학교병원),서울대학교병원 새마을금고,199824.095974723,452984.360451452
PHMH320153000034087500012,영업/정상,서울특별시 종로구 종로58가길 27 101102호 (숭인동 삼전솔하임2차),씨유 숭인센터,201408.284806346,452235.330243443
PHMH320123000034087500130,영업/정상,서울특별시 종로구 명륜길 2 (명륜1가),GS25 명륜성대점,199628.248280813,453954.318866659
PHMH320153000034087500025,영업/정상,서울특별시 종로구 통일로16길 8-3 1층 (무악동 인왕산아이파크아파트),미니스톱 인왕상파크점,196171.32627844,452746.033013615
PHMH320153000034087500026,영업/정상,서울특별시 종로구 대학로8가길 111 1층 (동숭동),GS25마로니에점,200241.539609902,453188.69990349
PHMH320123000034087500147,영업/정상,서울특별시 종로구 홍지문2길 16 (홍지동),GS25상명대점,196010.602015955,455485.36355739
